SampleID	Pyruvate.Oxidation	Alcohol.Utilization	Lactate.Utilization	Acetogenesis	Acetate.to.Acetyl-CoA	Pyruvate.to.Acetyl-CoA 	Acetate.to.Acetaldehyde	Acetaldehyde.to.Ethanol
P_KMM661	Absent	Absent	Absent	Absent	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Absent
P_M1318928	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Absent
P_M1400202	Absent	Alcohol.Utilization	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Acetaldehyde.to.Ethanol
P_M8	Absent	Alcohol.Utilization	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Acetaldehyde.to.Ethanol
P_MB47	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Absent
P_MEBiC03607	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Absent
P_MM172	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Absent
P_MMG024	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Acetaldehyde.to.Ethanol
P_McH142	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Absent	Absent
P_McH17	Absent	Alcohol.Utilization	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Acetaldehyde.to.Ethanol
P_N12309	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Absent
P_NBRC102222	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Absent
P_NBRC12985	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Absent	Absent
