ACC,metoncholaimus.1,sphaerolaimus.1,sphaerolaimus.2,oncholaimidae.1,oncholaimidae.2,thoracostoma.10,thoracostoma.11,epacanthion.1,epacanthion.2,thoracostoma.1,pontonema.1,oncholaimidae.3,pontonema.2,thoracostoma.2,oncholaimidae.4,thoracostoma.3,pontonema.3,thoracostoma.4,thoracostoma.5,oncholaimidae.5,oncholaimidae.6,oncholaimidae.7,oncholaimidae.8,sphaerolaimus.3,thoracostoma.6,thoracostoma.7,oncholaimidae.9,epacanthion.3,enoplolaimus.1,enoplolaimus.2,thoracostoma.8,thoracostoma.9,adoncholaimus.1,adoncholaimus.2,adoncholaimus.3,adoncholaimus.4,adoncholaimus.5,adoncholaimus.6,adoncholaimus.7,adoncholaimus.8,adoncholaimus.9,adoncholaimus.10,adoncholaimus.11
P_SCSIO43088,0.021120696,0.000557899,0.003573919,0.002925778,0.001580598,0.000239703,0.000127776,0.012675241,0.002964344,0,0,1.08E-05,2.92E-05,1.36E-05,0.007690973,0.000551645,0,0.000186239,7.61E-05,0.296438198,0,0,0,0.001626903,0,6.68E-05,0,0.000798567,0,0,0.000116108,0.00023313,0,0,1.46E-05,0,0,0,3.79E-05,0,5.88E-06,0,2.51E-06
P_SCSIO43095,1.077685067,0.003508025,0.025839655,0.008627379,0.008841117,0.000111394,0.000144208,0.002361009,0.000274111,4.77E-05,3.58E-05,0,0,1.76E-05,0.002528983,2.30E-05,0,0,0,0.017141533,0,0,0,0.000752194,0,0,0,6.08E-05,0,0,1.67E-05,0,0,1.75E-05,3.77E-05,0,0,0,0,3.81E-06,0,0,1.95E-05
P_SCSIO43101,0.046843897,0.000841714,0.003418352,0.002145782,0.000850386,0.000707525,0.00029065,0.008884123,0.000745394,0.00032084,1.46E-05,0,0,0.000646402,0.002122643,0.012835878,0,0.000496401,0.002329414,0.106339385,0,0,0,0.000385714,0.000151769,0.010457863,0,0.00089298,0,0,0.005776857,0.00017473,0,0,2.31E-05,5.53E-06,0,0,0,3.11E-06,1.24E-05,0,1.33E-05
P_SCSIO43201,0.007344622,0.000295629,0.000875441,0.000904378,0.000276551,0.000136789,3.95E-05,0.001395261,0.000163625,6.83E-05,1.28E-05,0,0,1.26E-05,0.002188953,0,0,0,0,0.004205426,0,0,0,0.000107761,6.35E-06,0,0,4.36E-05,0,5.04E-05,0,6.97E-06,0,8.37E-06,0.00018922,9.71E-06,0,0,0,5.45E-06,1.09E-05,4.76E-06,3.73E-05
P_SDCH90,0.014540997,0.000162081,0.001714165,0.001239578,0.000515511,0.001043684,0.000483055,0.009504059,0.000789434,0.000252741,7.03E-06,0,7.43E-06,0,0.004032192,0,0,0.000171336,6.19E-05,0.087177893,0,0,0,0.000320725,0,0.001153959,0,0.000525411,0.000130036,7.89E-06,7.87E-05,0.000107056,0,4.59E-06,2.22E-05,0,0,0,1.93E-05,0,3.99E-06,5.22E-06,1.79E-05
P_SG411,0.111978679,0.000596383,0.007884185,0.026226231,0.009930553,1.72E-05,2.15E-05,0.008785301,0.001749457,0.000378878,1.29E-05,0,0,0,0.000993664,0,0,0,0,0.058569647,0,0,0,0.000232919,0,0,0,0.000307566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P_SG412,0.293650892,0.001565837,0.008453629,0.020377139,0.005663842,5.75E-06,3.07E-06,0.000170624,3.30E-05,0,0,0,0,0,9.76E-05,0,0,0,0,0.00069902,0,0,0,1.55E-05,0,0,0,0,0,0,0,0,0,0,2.73E-05,0,0,0,0,0,0,0,4.70E-06
P_SG415,0.267500993,0.000805088,0.008359799,0.024852857,0.004710502,3.39E-05,6.02E-06,0.000293091,6.48E-05,0,0,9.91E-06,0,0,9.39E-05,0,0,0,0,0.000681115,0,0,0,7.62E-05,0,0,0,0,0,0,0,6.91E-06,0,0,0,0,0,0,0,0,0,0,0
P_SG416,0.005250016,0.003648874,0.006468499,0.003366468,0.002096801,1.34E-05,7.14E-06,0.000149102,0,0,0,0,0,0,5.92E-05,0,0,0,0,0.000471375,0,0,0,0,0,0,0,0,0,0,0,1.64E-05,0,0,0,0,0,0,0,0,0,0,0
P_SG418,0.230001928,0.000592742,0.005892708,0.015413001,0.004740889,2.86E-05,3.05E-06,0.000105967,3.28E-05,0,3.86E-05,0,0,0,0.000126118,0,0,0,0,0.000798924,0,0,0,9.26E-05,0,0,0,0,0,0,0,0,0,0,6.77E-06,0,0,0,0,0,5.47E-06,0,4.67E-06
